job_id,job_title,company,location,salary,source,url,date_posted
2091069,Patient Care Specialist,STATLINX,USA,$36k,Remotive,https://remotive.com/remote-jobs/medical/patient-care-specialist-2091069,2026-07-16
1919265,Senior Independent Software Developer,A.Team,"Americas, Europe, Israel",$90 - $150 /hour,Remotive,https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265,2026-07-16
1919266,Senior Independent AI Engineer / Architect,A.Team,"Americas, Europe, Israel",$120 - $170 /hour,Remotive,https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266,2026-07-16
2091068,Head of Marketing & Communications,garden3d,Worldwide,$150k - $230k,Remotive,https://remotive.com/remote-jobs/marketing/head-of-marketing-communications-2091068,2026-07-16
2069746,Tech Lead Full-Stack Rails Engineer,Mitre Media,"USA, Canada, USA timezones",$170k - $200k,Remotive,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,2026-07-14
2091067,Senior DevOps Engineer,Lemon.io,"Americas, Europe, Asia, Africa, Oceania",-1,Remotive,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2091067,2026-07-14
2091062,Senior Product Engineer (Fullstack),Clipster,"Europe, UK, Germany, France, European timezones",-1,Remotive,https://remotive.com/remote-jobs/software-development/senior-product-engineer-fullstack-2091062,2026-07-13
2090989,Assistant Account Payable,The Obesity Society,USA,-1,Remotive,https://remotive.com/remote-jobs/medical/assistant-account-payable-2090989,2026-07-12
1680495,Remote Office Assistant,Coalition Technologies ,Worldwide,"$31,2k- $52k",Remotive,https://remotive.com/remote-jobs/marketing/remote-office-assistant-1680495,2026-07-11
2091056,"Staff Software Engineer, Product (Belo Horizonte)",LawnStarter,Brazil,$80k - $100k,Remotive,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-belo-horizonte-2091056,2026-07-09
2091058,"Staff Software Engineer, Product (Montevideo)",LawnStarter,Uruguay,$80k - $100k,Remotive,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-montevideo-2091058,2026-07-09
2091055,"Staff Software Engineer, Product (São Paulo)",LawnStarter,Brazil,$80k - $100k,Remotive,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-sao-paulo-2091055,2026-07-09
2091050,"Staff Software Engineer, Product (Mexico City)",LawnStarter,Mexico,$80k - $100k,Remotive,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-mexico-city-2091050,2026-07-09
2091049,"Staff Software Engineer, Product (Campinas)",LawnStarter,Brazil,$80k - $100k,Remotive,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-campinas-2091049,2026-07-09
2091059,"Staff Software Engineer, Product (Florianópolis)",LawnStarter,Brazil,$80k - $100k,Remotive,https://remotive.com/remote-jobs/software-development/staff-software-engineer-product-florianopolis-2091059,2026-07-09
2091057,Staff Product Engineer (Mexico City),LawnStarter,Mexico,$80k - $100k,Remotive,https://remotive.com/remote-jobs/product/staff-product-engineer-mexico-city-2091057,2026-07-09
2091054,Staff Product Engineer (Montevideo),LawnStarter,Uruguay,$80k - $100k,Remotive,https://remotive.com/remote-jobs/product/staff-product-engineer-montevideo-2091054,2026-07-09
2091053,Staff Product Engineer (Campinas),LawnStarter,Brazil,$80k - $100k,Remotive,https://remotive.com/remote-jobs/product/staff-product-engineer-campinas-2091053,2026-07-09
2091052,Staff Product Engineer (Belo Horizonte),LawnStarter,Brazil,$80k - $100k,Remotive,https://remotive.com/remote-jobs/product/staff-product-engineer-belo-horizonte-2091052,2026-07-09
2091051,Staff Product Engineer (Florianópolis),LawnStarter,Brazil,$80k - $100k,Remotive,https://remotive.com/remote-jobs/product/staff-product-engineer-florianopolis-2091051,2026-07-09
2091048,Product Sales Specialist - Pet Health,Tribe Wellness,"USA, CST (UTC-6)",$55k - $100k,Remotive,https://remotive.com/remote-jobs/sales/product-sales-specialist-pet-health-2091048,2026-07-09
2086540,Inside Sales Contractor,"Credit Wellness, LLC",Worldwide,OTE $25k - $35k,Remotive,https://remotive.com/remote-jobs/sales/inside-sales-contractor-2086540,2026-07-08
2090949,High-Ticket Financial Sales Specialist & Team Lead Track,FSE LLC,Worldwide,$3k - $10k,Remotive,https://remotive.com/remote-jobs/sales/high-ticket-financial-sales-specialist-team-lead-track-2090949,2026-07-08
